"requirement","current_status","evidence_or_action_needed"
"One complete supplement","Not complete","Add full outputs intermediate results logs environment records and final README.txt"
"All manuscript results reproducible","Not demonstrated","Run full workflow and compare Tables 1-14 and Figures 1-4 value by value"
"Master simulation scripts","Largely satisfied","Existing run_tables_1_6.R and run_tables_7_10.R plus supplied run_all.R"
"No manual edits","Satisfied by design","Use command-line settings only and document any deviation"
"No copy-paste simulation code","Partially satisfied","Refactor duplicated uncensored estimator and CI functions into shared files"
"Manuscript-matching outputs","Not satisfied","Use supplied make_manuscript_tables.R and validate every output"
"Fixed random seeds","Satisfied","Seeds and RNG configuration are explicit"
"Negligible Monte Carlo error","Not demonstrated","Perform independent-seed full reruns and archive MCSE or stability comparison"
"Saved intermediate results","Supported but absent","Include censored checkpoints and replication-level output in supplement"
"Spot-check workflow","Supported but unverified","Use task IDs and compare rerun checksums with archived checkpoints"
"README in accepted format","Not satisfied","Use and complete README.txt or export it to HTML/PDF"
"Complete software versions","Not satisfied","Generate renv.lock and archive sessionInfo after loading all packages"
"Script execution order","Satisfied in supplied README","Use one-command run_all.R"
"Data provenance and licensing","Not satisfied","Complete DATA_PROVENANCE.txt and image_manifest.csv"
"Documented file structure","Satisfied in supplied README","Update after final archive assembly"
"Functions documented","Partial","Censored and real-data functions are documented; improve uncensored functions"
"No obsolete code","Not satisfied","Remove unused Real Data Analysis/km_functions.R after confirming shared source path"
"No package installation in analysis scripts","Satisfied","Keep installation instructions separate"
"No global workspace deletion","Satisfied","No rm(list=ls()) found"
"Relative and portable paths","Satisfied","Current source resolves paths relative to scripts"
"Platform independence","Mostly satisfied","Windows uses one core; verify on Windows or document tested platforms"
"Independent clean-machine reproduction","Not demonstrated","Complete CLEAN_MACHINE_TEST_RECORD.txt"
"Single ManuscriptCentral ZIP","Not demonstrated","Upload final source data results and documentation as one ZIP"
