"paper_output","source_script","primary_generated_output","status_before_update","required_action"
"Table 1","Uncensored Simulations/run_tables_1_6.R","uncensored/full/table_1/Table_1_manuscript.csv","Mapped","Archive full output log manifest and sessionInfo"
"Table 2","Uncensored Simulations/run_tables_1_6.R","uncensored/full/table_2/Table_2_manuscript.csv","Mapped","Archive full output log manifest and sessionInfo"
"Table 3","Uncensored Simulations/run_tables_1_6.R","uncensored/full/table_3/Table_3_manuscript.csv","Mapped","Archive full output log manifest and sessionInfo"
"Table 4","Uncensored Simulations/run_tables_1_6.R","uncensored/full/table_4/Table_4_manuscript.csv","Mapped","Archive full output log manifest and sessionInfo"
"Table 5","Uncensored Simulations/run_tables_1_6.R","uncensored/full/table_5/Table_5_manuscript.csv","Mapped","Archive full output log manifest and sessionInfo"
"Table 6","Uncensored Simulations/run_tables_1_6.R","uncensored/full/table_6/Table_6_manuscript.csv","Mapped","Archive full output log manifest and sessionInfo"
"Table 7","Censored Simulations/run_tables_7_10.R","censored/paper_tables/Table7_RelMSE_Exponential.csv","Extra DCC and target columns","Use make_manuscript_tables.R to retain printed columns only"
"Table 8","Censored Simulations/run_tables_7_10.R","censored/paper_tables/Table8_RelMSE_Weibull.csv","Extra DCC and target columns","Use make_manuscript_tables.R to retain printed columns only"
"Table 9","Censored Simulations/run_tables_7_10.R","censored/paper_tables/Table9_CI_Exponential.csv","Extra MCSE target and validity columns","Use make_manuscript_tables.R to retain CP and AL columns only"
"Table 10","Censored Simulations/run_tables_7_10.R","censored/paper_tables/Table10_CI_Weibull.csv","Extra MCSE target and validity columns","Use make_manuscript_tables.R to retain CP and AL columns only"
"Table 11","Real Data Analysis/Censored_Real_Data_Analysis.R","real_data/Table11_real_data_full.csv","Mapped","Create exact table with nonnegative displayed normal lower limits"
"Table 12","Real Data Analysis/Image_based_Real_Data_Analysis.R","image_data/Divergence_matrix_index1.csv","Mapped","Create Table_12_manuscript.csv rounded to three decimals"
"Table 13","Real Data Analysis/Image_based_Real_Data_Analysis.R","image_data/Divergence_matrix_index2.csv","Mapped","Create Table_13_manuscript.csv rounded to three decimals"
"Table 14","Real Data Analysis/Image_based_Real_Data_Analysis.R","image_data/Divergence_matrix_index3.csv","Mapped","Create Table_14_manuscript.csv rounded to three decimals"
"Figure 1","Real Data Analysis/Censored_Real_Data_Analysis.R","Veteran_KM_curve.pdf and Veteran_cumulative_divergence.pdf","Two separate panels","Archive as Figure_1a and Figure_1b and preserve manuscript assembly"
"Figure 2","Real Data Analysis/Censored_Real_Data_Analysis.R","Lung_cancer_KM_curve.pdf and Lung_cancer_cumulative_divergence.pdf","Two separate panels","Archive as Figure_2a and Figure_2b and preserve manuscript assembly"
"Figure 3","Real Data Analysis/Censored_Real_Data_Analysis.R","GBSG2_KM_curve.pdf and GBSG2_cumulative_divergence.pdf","Two separate panels","Archive as Figure_3a and Figure_3b and preserve manuscript assembly"
"Figure 4","Real Data Analysis/Image_based_Real_Data_Analysis.R","image_data/Figure4_MRI_images.pdf","Mapped","Complete and validate image_manifest.csv"
